true_id,true_name,confused_with_id,confused_with_name,same_genus,epochs
1358749,Lamium_flexuosum,1393423,Lamium_album,False,"[(20, 0.6666666666666666), (30, 1.0), (40, 0.4444444444444444), (50, 0.7777777777777778), (60, 0.6666666666666666), (70, 0.2222222222222222), (80, 0.7777777777777778), (90, 0.6666666666666666), (100, 0.7777777777777778), (110, 0.6666666666666666)]"
1358750,Lamium_garganicum,1393425,Lamium_maculatum,False,"[(20, 0.5), (30, 1.0), (40, 0.5), (50, 1.0), (60, 1.0), (70, 1.0), (80, 1.0), (90, 0.5), (100, 1.0), (110, 0.5)]"
1358752,Lamium_purpureum,1358751,Lamium_hybridum,False,"[(20, 0.7069271758436945), (30, 0.6269982238010657), (40, 0.7531083481349912), (50, 0.5985790408525755), (60, 0.3392539964476021), (70, 0.6092362344582594), (80, 0.7246891651865008), (90, 0.6163410301953819), (100, 0.4671403197158081), (110, 0.5754884547069272)]"
1358755,Lavandula_canariensis,1398592,Perovskia_atriplicifolia,False,"[(20, 0.5), (50, 0.5), (60, 0.5)]"
1363464,Cenchrus_echinatus,1356257,Melilotus_albus,False,"[(20, 0.5), (40, 1.0), (80, 0.5), (90, 0.5), (100, 0.5), (110, 1.0)]"
1363489,Phalaris_aquatica,1363491,Phalaris_canariensis,False,"[(20, 0.25), (30, 0.5), (50, 0.25), (60, 0.25), (70, 0.5), (80, 0.25), (90, 0.5), (100, 0.5), (110, 0.25)]"
1363492,Phalaris_minor,1363489,Phalaris_aquatica,False,"[(20, 0.5), (30, 0.5), (70, 0.5), (80, 0.5)]"
1363493,Phalaris_paradoxa,1363489,Phalaris_aquatica,False,"[(20, 1.0)]"
1363688,Crotalaria_juncea,1402811,Crotalaria_retusa,False,"[(20, 0.3333333333333333), (40, 1.0), (50, 0.3333333333333333), (60, 0.6666666666666666), (70, 1.0), (80, 0.3333333333333333), (90, 1.0), (100, 0.6666666666666666), (110, 0.6666666666666666)]"
1363699,Lupinus_angustifolius,1393654,Lupinus_arboreus,False,"[(20, 0.3134328358208955), (40, 0.2238805970149253)]"
1363703,Lupinus_albus,1393654,Lupinus_arboreus,False,"[(20, 0.4444444444444444), (40, 0.2222222222222222), (70, 0.2222222222222222)]"
1363735,Trifolium_alexandrinum,1359508,Trifolium_montanum,False,"[(20, 0.3333333333333333), (50, 0.3333333333333333), (70, 0.3333333333333333), (80, 0.3333333333333333), (90, 0.3333333333333333), (110, 0.3333333333333333)]"
1363738,Trifolium_glomeratum,1356278,Trifolium_fragiferum,False,"[(20, 0.5), (60, 0.5), (70, 0.5), (80, 0.5), (90, 0.5), (100, 0.5), (110, 0.5)]"
1363739,Trifolium_nigrescens,1359519,Trifolium_resupinatum,False,"[(20, 0.25)]"
1363743,Dalbergia_melanoxylon,1390617,Nothofagus_obliqua,False,"[(20, 1.0)]"
1363749,Melilotus_indicus,1393792,Melilotus_officinalis,False,"[(20, 0.4225352112676056), (100, 0.2676056338028169)]"
1363750,Melilotus_officinalis,1393792,Melilotus_officinalis,True,"[(20, 0.55), (100, 0.4)]"
1363770,Acacia_mearnsii,1363764,Acacia_dealbata,False,"[(20, 0.5), (40, 0.2142857142857142), (60, 0.2142857142857142), (70, 0.5), (80, 0.2857142857142857), (90, 0.2857142857142857), (100, 0.5714285714285714), (110, 0.2857142857142857)]"
1363778,Acacia_retinodes,1363772,Acacia_pycnantha,False,"[(20, 0.4545454545454545)]"
1363871,Barbarea_verna,1400100,Barbarea_vulgaris,False,"[(20, 0.303030303030303), (40, 0.4848484848484848), (50, 0.4545454545454545), (70, 0.5151515151515151), (80, 0.5454545454545454), (90, 0.4242424242424242), (100, 0.4848484848484848), (110, 0.5454545454545454)]"
1363872,Barbarea_intermedia,1414275,Barbarea_orthoceras,False,"[(20, 0.25), (30, 0.25)]"
1363970,Myosurus_minimus,1363491,Phalaris_canariensis,False,"[(20, 0.5)]"
1364000,Duchesnea_indica,1411834,Duchesnea_indica,True,"[(20, 0.3809523809523809), (30, 0.4285714285714285), (40, 0.3333333333333333), (60, 0.4285714285714285), (70, 0.3809523809523809), (80, 0.5238095238095238)]"
1364099,Centranthus_ruber,1362435,Centranthus_lecoqii,False,"[(20, 0.2200598802395209), (50, 0.2754491017964072)]"
1364159,Tagetes_patula,1374048,Tagetes_erecta,False,"[(20, 0.2362204724409448), (30, 0.4015748031496063), (40, 0.2598425196850393), (60, 0.4173228346456692), (90, 0.4724409448818897), (100, 0.2677165354330709), (110, 0.3464566929133858)]"
1364161,Calendula_arvensis,1357330,Calendula_officinalis,False,"[(20, 0.8333333333333334), (30, 0.5833333333333334), (50, 0.75), (60, 0.75), (70, 0.4166666666666667), (90, 0.5), (100, 0.5833333333333334), (110, 0.6666666666666666)]"
1497630,Tradescantia_x_andersoniana,1396823,Tradescantia_x_andersoniana,True,"[(20, 1.0), (30, 1.0)]"
1506976,Erechtites_minima,1432783,Lactuca_virosa,False,"[(20, 1.0)]"
